Entity,Code,Year,pop_missreg_bmr_owid,pop_nondem_womsuffr_bmr_owid,pop_dem_womsuffr_bmr_owid
South America,,1904,387224,44449917,0
South America,,1905,386985,45364067,0
South America,,1906,386746,46299704,0
South America,,1907,386509,47257403,0
South America,,1908,386272,48237754,0
South America,,1909,386747,49229271,0
South America,,1910,406916,50231748,0
South America,,1911,389933,51244953,0
South America,,1912,392701,52268624,0
South America,,1913,396291,53302481,0
South America,,1914,400023,54358280,0
South America,,1915,403901,55436506,0
South America,,1916,407931,56537657,0
South America,,1917,412119,57662245,0
South America,,1918,416680,58793025,0
South America,,1919,420854,59954474,0
South America,,1920,445433,61147414,0
South America,,1921,427929,62372694,0
South America,,1922,430774,63631182,0
South America,,1923,433115,64923775,0
South America,,1924,435479,66244717,0
South America,,1925,437865,67594667,0
South America,,1926,440273,68974302,0
South America,,1927,442703,70384312,0
South America,,1928,445155,71825404,0
South America,,1929,448355,73263621,0
South America,,1930,475205,74697985,0
South America,,1931,457052,76127489,0
South America,,1932,462578,75758352,1792720
South America,,1933,468906,77150131,1817494
South America,,1934,475327,80410682,0
South America,,1935,481842,81880751,0
South America,,1936,488452,83378347,0
South America,,1937,495160,84903994,0
South America,,1938,501967,86458230,0
South America,,1939,509306,88126908,0
South America,,1940,542381,89914546,0
South America,,1941,525646,91825822,0
South America,,1942,534680,93865561,0
South America,,1943,544313,93970768,2067980
South America,,1944,554128,96174292,2090928
South America,,1945,564131,98432200,2114131
South America,,1946,574324,52242652,50640803
South America,,1947,584710,53324569,51953438
South America,,1948,595295,51162172,56569265
South America,,1949,607552,45785028,64556858
South America,,1950,649293,46833991,66281907
South America,,1951,669617,48025624,68158411
South America,,1952,691154,49257704,70094353
South America,,1953,713837,50527353,72080551
South America,,1954,737569,51832612,74111568
South America,,1955,762260,53172213,76185764
South America,,1956,787713,45446991,87404206
South America,,1957,813802,46606066,89824349
South America,,1958,840368,12891638,127214121
South America,,1959,867105,5441962,138447609
South America,,1960,893858,5560951,142230874
South America,,1961,920433,5683506,146131966
South America,,1962,946678,37712176,118240000
South America,,1963,972398,10888522,149291983
South America,,1964,997472,92231752,72239317
South America,,1965,1021771,94828687,73972713
South America,,1966,380834,120607724,53223828
South America,,1967,392138,123600041,54646299
South America,,1968,402885,139351892,43339597
South America,,1969,411721,142750821,44411050
South America,,1970,417847,146186684,45469393
South America,,1971,420813,149657591,46510934
South America,,1972,421120,153165381,47539258
South America,,1973,419720,144753366,60534696
South America,,1974,418098,148133378,61817649
South America,,1975,58133,151596263,63480022
South America,,1976,59898,181409660,38538261
South America,,1977,61745,185434947,39486570
South America,,1978,63801,189541251,40456498
South America,,1979,66136,180484819,54689579
South America,,1980,68826,172826526,67619914
South America,,1981,71872,176537383,69277531
South America,,1982,75259,174501572,76769554
South America,,1983,79070,148939586,107847754
South America,,1984,83399,152165169,110162365
South America,,1985,88276,17072519,250791024
South America,,1986,93803,17367487,256015004
South America,,1987,99838,17673126,261210219
South America,,1988,106107,17600031,266764768
South America,,1989,112186,17916734,271913278
South America,,1990,117764,27443321,267837092
South America,,1991,122750,27601208,273105504
South America,,1992,127244,27411841,278689543
South America,,1993,131414,27963653,283506515
South America,,1994,135570,28517501,288305198
South America,,1995,139901,29076006,293086409
South America,,1996,144379,29641463,297849290
South America,,1997,149019,30209053,302585465
South America,,1998,154014,30765910,307279193
South America,,1999,159642,31294641,311910232
South America,,2000,166056,44464269,303781565
South America,,2001,173370,18343102,334817018
South America,,2002,181492,18675423,339276298
South America,,2003,189976,0,362619694
South America,,2004,198255,0,367167087
South America,,2005,205923,26432445,345166267
South America,,2006,212831,26850190,349059762
South America,,2007,219110,27247601,352858344
South America,,2008,224929,27635827,356578719
South America,,2009,230463,28031010,360241871
South America,,2010,235898,28439942,363867855
South America,,2011,241246,28887873,367442632
South America,,2012,246490,29360827,370974246
South America,,2013,251842,29781046,374529060
South America,,2014,257567,30042973,378193260
South America,,2015,263843,30081827,382017019
South America,,2016,270750,29851249,386042872
South America,,2017,278263,29402480,390223177
South America,,2018,286172,28887117,394407809
South America,,2019,294195,28515829,398389401
South America,,2020,302165,28435943,402021663
World,OWID_WRL,1800,482098625,502642526,0
World,OWID_WRL,1801,482484958,505143364,0
World,OWID_WRL,1802,483435771,507662967,0
World,OWID_WRL,1803,484408728,510201532,0
World,OWID_WRL,1804,485403961,512759279,0
World,OWID_WRL,1805,486421621,515336423,0
World,OWID_WRL,1806,487461890,517933177,0
World,OWID_WRL,1807,508691324,500383418,0
World,OWID_WRL,1808,513064481,499733032,0
World,OWID_WRL,1809,514536299,502027567,0
World,OWID_WRL,1810,516783593,505846604,0
World,OWID_WRL,1811,517578710,509908759,0
World,OWID_WRL,1812,519299844,514331292,0
World,OWID_WRL,1813,498870312,541573377,0
World,OWID_WRL,1814,500375657,547051635,0
World,OWID_WRL,1815,499753318,554832788,0
World,OWID_WRL,1816,501346485,560578028,0
World,OWID_WRL,1817,502998402,566448668,0
World,OWID_WRL,1818,503938181,573220371,0
World,OWID_WRL,1819,505834674,578923201,0
World,OWID_WRL,1820,506595141,586352281,0
World,OWID_WRL,1821,505316675,594014902,0
World,OWID_WRL,1822,500914023,605339760,0
World,OWID_WRL,1823,500390304,613124488,0
World,OWID_WRL,1824,497145894,623730275,0
World,OWID_WRL,1825,498229970,630112990,0
World,OWID_WRL,1826,501110542,634850646,0
World,OWID_WRL,1827,501570076,642114770,0
World,OWID_WRL,1828,504517468,646997954,0
World,OWID_WRL,1829,507491384,651407000,0
World,OWID_WRL,1830,507458406,659161453,0
World,OWID_WRL,1831,511418363,660848363,0
World,OWID_WRL,1832,512679976,665536322,0
World,OWID_WRL,1833,515656043,668018952,0
World,OWID_WRL,1834,518662256,670532609,0
World,OWID_WRL,1835,521699070,673077951,0
World,OWID_WRL,1836,524766930,675655656,0
World,OWID_WRL,1837,527866308,678266413,0
World,OWID_WRL,1838,530997673,680910944,0
World,OWID_WRL,1839,534464167,683148632,0
World,OWID_WRL,1840,538508376,685610316,0
World,OWID_WRL,1841,540512798,688308691,0
World,OWID_WRL,1842,543736878,690596875,0
World,OWID_WRL,1843,546989526,692796711,0
World,OWID_WRL,1844,550155102,695164815,0
World,OWID_WRL,1845,553496656,697439772,0
World,OWID_WRL,1846,556884788,699752675,0
World,OWID_WRL,1847,559991838,702432882,0
World,OWID_WRL,1848,561128338,707171667,0
World,OWID_WRL,1849,564523471,708871463,0
World,OWID_WRL,1850,568828811,709869359,0
World,OWID_WRL,1851,570823935,710220176,0
World,OWID_WRL,1852,573721975,709883148,0
World,OWID_WRL,1853,576540717,708864640,0
World,OWID_WRL,1854,579396768,707921095,0
World,OWID_WRL,1855,563897662,725446424,0
World,OWID_WRL,1856,566839042,724646513,0
World,OWID_WRL,1857,569702617,724041279,0
World,OWID_WRL,1858,605631777,690489033,0
World,OWID_WRL,1859,600318529,698556255,0
World,OWID_WRL,1860,982788919,320366344,0
World,OWID_WRL,1861,956170266,349320505,0
World,OWID_WRL,1862,587049046,722297978,0
World,OWID_WRL,1863,590252521,723303766,0
World,OWID_WRL,1864,590022559,727828008,0
World,OWID_WRL,1865,593256212,728967116,0
World,OWID_WRL,1866,596516005,730158067,0
World,OWID_WRL,1867,590188467,741022135,0
World,OWID_WRL,1868,559346476,776485426,0
World,OWID_WRL,1869,562376880,778663122,0
World,OWID_WRL,1870,566630867,781523405,0
World,OWID_WRL,1871,568174944,785011003,0
World,OWID_WRL,1872,570952265,789238884,0
World,OWID_WRL,1873,573626150,794152304,0
World,OWID_WRL,1874,576315220,799125955,0
World,OWID_WRL,1875,579046647,804160798,0
World,OWID_WRL,1876,581799665,809257837,0
World,OWID_WRL,1877,584544302,814418094,0
World,OWID_WRL,1878,585379386,821559620,0
World,OWID_WRL,1879,585609281,829847226,0
World,OWID_WRL,1880,590639528,835359125,0
World,OWID_WRL,1881,593256228,840997716,0
World,OWID_WRL,1882,597795014,846764308,0
World,OWID_WRL,1883,602804264,852660296,0
World,OWID_WRL,1884,607878709,858628785,0
World,OWID_WRL,1885,613073119,864671244,0
World,OWID_WRL,1886,618306696,870789197,0
World,OWID_WRL,1887,623625559,876984211,0
World,OWID_WRL,1888,629001889,883257922,0
World,OWID_WRL,1889,633914605,889768594,0
World,OWID_WRL,1890,639943779,896518208,0
World,OWID_WRL,1891,642344118,903508670,0
World,OWID_WRL,1892,645820645,910741806,0
World,OWID_WRL,1893,648806869,917516295,703071
World,OWID_WRL,1894,651847040,925069665,716764
World,OWID_WRL,1895,654953296,932713623,730724
World,OWID_WRL,1896,658061187,940449540,744956
World,OWID_WRL,1897,661226958,948278815,759465
World,OWID_WRL,1898,664428556,956202865,774257
World,OWID_WRL,1899,668072564,964356883,790405
World,OWID_WRL,1900,671627853,974969205,807964
World,OWID_WRL,1901,670589793,987368861,826989
World,OWID_WRL,1902,673608857,994292379,4663146
World,OWID_WRL,1903,678520613,1003747593,4744599
World,OWID_WRL,1904,683765004,1013054848,4827552
World,OWID_WRL,1905,689078224,1022482792,4912035
World,OWID_WRL,1906,705353888,1021142819,4998077
World,OWID_WRL,1907,710680704,1030970440,5085710
World,OWID_WRL,1908,716363723,1040661521,5174963
World,OWID_WRL,1909,721421955,1050377708,5268085
World,OWID_WRL,1910,727348127,1060610295,5365170
World,OWID_WRL,1911,1153187446,646266920,5466318
World,OWID_WRL,1912,731692450,1080726871,5571631
World,OWID_WRL,1913,1177960789,644362174,8138224
World,OWID_WRL,1914,740320339,1094536562,8274688
World,OWID_WRL,1915,738887907,1105585680,11475440
World,OWID_WRL,1916,753205637,1103992684,11653183
World,OWID_WRL,1917,740320857,1126632150,14900169
World,OWID_WRL,1918,782279265,1018495030,94262747
World,OWID_WRL,1919,728690493,1015306448,165047368
World,OWID_WRL,1920,724995078,902915218,298307129
World,OWID_WRL,1921,728115142,902552688,308919996
World,OWID_WRL,1922,722477930,917795064,315698637
World,OWID_WRL,1923,716089982,938384856,318582336
World,OWID_WRL,1924,723245341,945661936,321509108
World,OWID_WRL,1925,719239289,964316463,324496336
World,OWID_WRL,1926,724475313,1002165485,299304583
World,OWID_WRL,1927,732279196,1009910721,301907153
World,OWID_WRL,1928,740200500,1017791188,304552284
World,OWID_WRL,1929,748678833,1025914217,307090418
World,OWID_WRL,1930,761531195,1033015204,309520979
World,OWID_WRL,1931,768769636,1017898452,335508498
World,OWID_WRL,1932,787119160,1016676572,339721793
World,OWID_WRL,1933,798337330,1099568470,267634628
World,OWID_WRL,1934,809719420,1113502256,264615117
World,OWID_WRL,1935,808767287,1135212159,266433526
World,OWID_WRL,1936,823126519,1141982354,268258528
World,OWID_WRL,1937,834541457,1177080752,245049657
World,OWID_WRL,1938,852923663,1180785719,246633525
World,OWID_WRL,1939,1425863091,642924784,234308563
World,OWID_WRL,1940,1476484818,625752915,225120006
World,OWID_WRL,1941,1512334394,605103225,227350915
World,OWID_WRL,1942,1493732985,640322634,229831492
World,OWID_WRL,1943,1503715754,643408045,234635140
World,OWID_WRL,1944,1566128133,596099910,237431877
World,OWID_WRL,1945,1529609176,616615273,271189251
World,OWID_WRL,1946,1019862644,983356030,431829928
World,OWID_WRL,1947,982103754,1047735957,424206120
World,OWID_WRL,1948,881395293,1125861904,467390893
World,OWID_WRL,1949,880788452,1138949094,481084223
World,OWID_WRL,1950,434320521,1200490191,901795096
World,OWID_WRL,1951,440022225,1228849575,915162423
World,OWID_WRL,1952,447489506,1160354086,1023018096
World,OWID_WRL,1953,455394854,1189008911,1033205294
World,OWID_WRL,1954,461869164,1212818882,1050158705
World,OWID_WRL,1955,465504754,1162619740,1144895421
World,OWID_WRL,1956,452872811,1236006953,1133563489
World,OWID_WRL,1957,448086222,1351130291,1074089542
World,OWID_WRL,1958,453422785,1363760990,1108502903
World,OWID_WRL,1959,462445609,1383650501,1133480033
World,OWID_WRL,1960,366959270,1419816089,1248384821
World,OWID_WRL,1961,361221439,1455134887,1275487180
World,OWID_WRL,1962,341069044,1562712307,1246639408
World,OWID_WRL,1963,339509246,1576931852,1294559843
World,OWID_WRL,1964,338277194,1698624149,1237076928
World,OWID_WRL,1965,337341258,1766172031,1236070220
World,OWID_WRL,1966,341032233,1874144503,1192745894
World,OWID_WRL,1967,347193396,1930397442,1201179264
World,OWID_WRL,1968,351754059,1992289457,1207555916
